Customer_ID,Age,Gender,Marital_Status,Number_of_Children,Education_Level,Annual_Income,Number_of_Accounts,Total_Credit_Line
5061525,52,Male,Married,3,High School,73632.0,5,260312.7728688263
1826965,34,Male,Single,2,Ph.D.,128544.0,3,119482.1910854881
3147168,33,Male,Single,0,Bachelor's Degree,86528.0,1,12931.487789473233
4980124,75,Female,Single,1,Master's Degree,124800.0,2,67210.12678261178
4868155,76,Male,Single,2,High School,83616.0,3,69387.06404196005
6418086,50,Male,Married,1,High School,72800.0,3,102319.15081239268
1414669,42,Male,Married,1,Bachelor's Degree,90272.0,3,93513.85660550033
7534031,70,Female,Single,2,No Education,60320.0,3,61739.29852325228
2982096,75,Male,Married,3,High School,83200.0,5,487219.87257884187
9050811,68,Male,Married,2,High School,80288.0,4,225243.73625590635
3629887,68,Female,Married,1,Master's Degree,121888.0,3,193751.187796615
2414419,70,Female,Married,1,High School,81120.0,3,68644.97429937588
6308633,65,Male,Married,3,Master's Degree,120640.0,5,799344.0132178299
5440355,25,Male,Single,0,Bachelor's Degree,83200.0,1,13193.878844940264
8698197,34,Female,Married,2,High School,66144.0,4,179058.61783093988
3721771,61,Female,Married,1,Bachelor's Degree,98176.0,3,80441.3983313797
9679026,21,Male,Married,2,Bachelor's Degree,81536.0,4,142417.3875237548
7670484,77,Female,Single,3,High School,84032.0,4,134835.3186521415
6210887,22,Male,Married,2,High School,61152.0,4,133048.74907631148
1819505,53,Female,Single,1,High School,74048.0,2,33860.290656642785
5679162,78,Female,Single,1,High School,84448.0,2,37988.90225451888
2059144,33,Male,Married,2,High School,65728.0,4,219698.7728091976
3088565,48,Female,Married,1,Ph.D.,134368.0,3,192255.61855835275
1420371,65,Female,Single,0,Bachelor's Degree,99840.0,1,14943.729189717658
7304560,55,Female,Married,4,High School,74880.0,6,879073.7697626329
9938253,24,Female,Single,1,High School,61984.0,2,47547.37856480958
2864074,68,Male,Married,3,Master's Degree,121888.0,5,780870.5078680549
9627903,53,Male,Single,3,High School,74048.0,4,117404.01311919025
3485526,66,Female,Single,2,High School,79456.0,3,86682.45613528727
2151052,21,Male,Single,2,High School,60736.0,3,101589.34429389998
3883484,47,Male,Married,1,High School,71552.0,3,95386.61806312794
6119748,52,Female,Single,3,Bachelor's Degree,94432.0,4,216064.8311198721
6455172,51,Female,Married,2,Bachelor's Degree,94016.0,4,192256.31457462418
6678960,74,Female,Married,1,High School,82784.0,3,44984.69698171493
1969875,34,Female,Married,1,High School,66144.0,3,62239.45415525011
4012317,51,Female,Married,2,High School,73216.0,4,123429.1686211508
1371802,62,Male,Single,1,High School,77792.0,2,26054.08071592404
1771668,26,Female,Single,3,Ph.D.,125216.0,4,162790.63199162664
4267813,53,Male,Married,2,High School,74048.0,4,96287.34607783306
6341615,31,Female,Single,0,Bachelor's Degree,85696.0,1,15352.247028188745
3570105,23,Female,Single,2,High School,61568.0,3,63974.41523157521
2327719,33,Female,Single,0,High School,65728.0,1,11269.783015830455
6442567,75,Female,Single,2,High School,83200.0,3,93912.6036549479
5559916,52,Female,Married,3,High School,73632.0,5,286056.2038252079
9814412,63,Male,Married,0,Master's Degree,119808.0,2,91442.50363092107
9642928,36,Female,Married,0,High School,66976.0,2,37831.27825874527
4760434,58,Male,Single,0,High School,76128.0,1,12044.202027387111
5125146,60,Female,Married,3,Ph.D.,139360.0,5,437777.1778568925
5517723,55,Male,Married,2,High School,74880.0,4,207012.03402073373
7313918,66,Male,Single,2,High School,79456.0,3,86576.75905634792
3178994,38,Male,Married,1,High School,67808.0,3,77192.3029518227
9001678,80,Female,Married,2,Ph.D.,147680.0,4,326394.4261182946
8186529,59,Male,Married,2,No Education,55744.0,4,99095.44808845292
5742268,42,Female,Married,1,Master's Degree,111072.0,3,93280.64446758937
2807765,46,Male,Married,3,Ph.D.,133536.0,5,853241.8958321824
8334534,46,Female,Married,2,High School,71136.0,4,198421.34024852747
7315383,38,Female,Married,0,No Education,47008.0,2,31070.355926749624
6946911,34,Male,Married,1,Master's Degree,107744.0,3,107002.82669279752
5828699,22,Female,Single,3,Bachelor's Degree,81952.0,4,215519.75994790834
6569728,46,Male,Married,0,High School,71136.0,2,26766.884837596903
3914870,70,Male,Married,2,Bachelor's Degree,101920.0,4,188898.73305511475
1487249,45,Male,Married,1,High School,70720.0,3,73848.17264376066
9913950,44,Female,Single,4,High School,70304.0,5,265449.11648942064
1598316,80,Female,Single,3,High School,85280.0,4,138254.7343379771
3414143,68,Female,Married,2,High School,80288.0,4,213549.60893822333
1751185,74,Female,Married,0,High School,82784.0,2,40777.01491075266
2060127,64,Male,Married,3,High School,78624.0,5,382642.04567308445
2037127,62,Female,Single,0,Master's Degree,119392.0,1,18249.680775987297
1724656,75,Male,Married,1,No Education,62400.0,3,54607.166590664536
4573979,28,Female,Single,0,Bachelor's Degree,84448.0,1,10292.232780167295
8085318,20,Female,Single,3,No Education,39520.0,4,114865.10167395303
